Date,Country,Intensity
20130401,Jordan,100
20130401,Syria,100
20130403,Lebanon,100
20130403,Russia,100
20130403,Syria,100
20130410,Lebanon,100
20130410,Syria,100
20130414,Iran,100
20130414,Israel,100
20130414,Lebanon,100
20130414,Netherlands,100
20130414,Syria,100
20130414,Thailand,100
20130414,United Kingdom,100
20130421,Indonesia,16.66666667
20130421,Jordan,100
20130421,Lebanon,33.33333333
20130421,Syria,100
20130421,Turkey,16.66666667
20130425,Bosnia-herzegovina,100
20130425,Iran,100
20130425,Jordan,100
20130425,Lebanon,100
20130425,Syria,100
20130426,Iraq,100
20130426,Jordan,100
20130426,Lebanon,100
20130426,Somalia,100
20130426,Switzerland,100
20130426,Syria,100
20130429,Jordan,100
20130429,Syria,100
20130430,Iran,100
20130430,Syria,100
20130430,Turkey,100
20130502,Lebanon,100
20130502,Libya,100
20130502,Syria,100
20130503,Lebanon,100
20130503,Libya,100
20130503,Syria,100
20130513,Lebanon,100
20130513,Syria,100
20130515,Jordan,100
20130515,Saudi Arabia,100
20130515,Syria,100
20130520,Jordan,100
20130520,Lebanon,100
20130520,Syria,100
20130520,United Kingdom,100
20130521,Jordan,100
20130521,Syria,100
20130529,Afghanistan,20
20130529,Austria,20
20130529,Canada,20
20130529,Egypt,20
20130529,Ethiopia,20
20130529,France,20
20130529,Iran,20
20130529,Iraq,20
20130529,Jordan,100
20130529,Russia,20
20130529,South Sudan,20
20130529,Switzerland,20
20130529,Syria,100
20130529,Turkey,20
20130529,United Kingdom,20
20130530,Jordan,50
20130530,Lebanon,50
20130530,Libya,50
20130530,Switzerland,50
20130530,Syria,100
20130603,Jordan,100
20130603,Syria,100
20130609,Bahrain,100
20130609,Lebanon,100
20130609,Syria,100
20130611,Afghanistan,75
20130611,Australia,75
20130611,France,75
20130611,Germany,75
20130611,India,75
20130611,Iran,75
20130611,Jordan,25
20130611,Lebanon,75
20130611,Liberia,75
20130611,North Korea,25
20130611,Pakistan,75
20130611,Qatar,75
20130611,Russia,75
20130611,South Korea,25
20130611,Syria,100
20130611,Turkey,75
20130611,United Arab Emirates,100
20130611,United Kingdom,75
20130611,Venezuela,75
20130618,Israel,100
20130618,Lebanon,100
20130618,Libya,100
20130618,Norway,100
20130618,Syria,100
20130619,Israel,100
20130619,Lebanon,100
20130619,Somalia,100
20130619,Syria,100
20130619,United Arab Emirates,33.33333333
20130619,United Kingdom,33.33333333
20130622,Egypt,100
20130622,France,100
20130622,Iran,100
20130622,Iraq,100
20130622,Israel,100
20130622,Lebanon,100
20130622,Saudi Arabia,100
20130622,Syria,100
20130624,Syria,100
20130627,Egypt,100
20130627,Jordan,100
20130627,Lebanon,100
20130627,Oman,100
20130627,Syria,100
20130627,United Arab Emirates,100
20130630,Australia,100
20130630,China,100
20130630,Jordan,100
20130630,Lebanon,100
20130630,Syria,100
20130630,United Kingdom,100
20130701,Australia,50
20130701,China,50
20130701,Iraq,50
20130701,Jordan,100
20130701,Lebanon,100
20130701,Syria,100
20130701,Turkey,50
20130703,Canada,100
20130703,Egypt,100
20130703,Iran,100
20130703,Iraq,100
20130703,Jordan,100
20130703,Lebanon,100
20130703,Syria,100
20130703,Turkey,100
20130706,Canada,100
20130706,Cyprus,100
20130706,Egypt,100
20130706,Iran,100
20130706,Iraq,100
20130706,Jordan,100
20130706,Lebanon,100
20130706,Syria,100
20130706,Turkey,100
20130708,Canada,100
20130708,Syria,100
20130709,Canada,50
20130709,Egypt,50
20130709,Iran,50
20130709,Iraq,100
20130709,Jordan,50
20130709,Lebanon,50
20130709,Syria,100
20130709,Turkey,50
20130718,Iran,33.33333333
20130718,Jordan,100
20130718,Lebanon,66.66666667
20130718,Morocco,33.33333333
20130718,Russia,33.33333333
20130718,Syria,100
20130718,Turkey,66.66666667
20130719,Jordan,100
20130719,Lebanon,50
20130719,Syria,100
20130719,Turkey,50
20130721,Denmark,100
20130721,Iran,50
20130721,Lebanon,100
20130721,Syria,100
20130722,Germany,100
20130722,Israel,100
20130722,Lebanon,100
20130722,Syria,100
