Country	1968	1969	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Afghanistan																																				1			
Albania																			3	3	3	3														3	15	8	
Algeria																					2			4	8	4	4	4	3	3	4				4	236	1080	4108	6211
Angola																																				1	1		
Antigua and Barbuda																																					1		15
Argentina																																				49	171	255	374
Australia																				18	26	34	39	122	121	92	90	105	127	132	80	85	87	86	150	278	404	476	434
Austria																						91	85	85	79	61	61	75	122	457	581	690	880	976	1359	2369	4309	11525	33563
Bahrain																																			3	3			
Armenia																											3			2	2				8	476	11132	15003	16623
Barbados																																					1		
Belgium																		0		238	238	105	103	102	47	31	189	333	524	253	114	152	177	229	978	1293	2365	3353	8109
Bolivia (Plurinational State of)																																		2			3	6	7
Bosnia and Herzegovina																									2	1	2	2	1	1	2	2	3	3	3	31	66	25	14
Brazil																								5	5	6	7	6	5	6	6	6	5	5	19	109	403	1815	3425
Belize																								15															
Bulgaria																	1	26	31	37	1	1	2	36	58	61	65	74	78	79	85	90	100	125	168	97	4604	11011	15502
Belarus																						0		3	3	2	2	3	1							11	60	120	145
Cambodia																																				1	1		
Cameroon																																				4	8	11	23
Canada																		415	365	340	324	333	364	488	561	574	586	554	461	456	712	736	760	766	798	937	1027	889	1748
Central African Rep.																																						8	8
Chad																																		1	3	4	17	15	28
Chile																																				5	10	16	24
China																																1	1		2		1	5	38
"China, Hong Kong SAR"																																				1	2		
"China, Macao SAR"																																	4	4	4	1	1		
Colombia																																				3	3		7
Costa Rica																																			1	2	5	5	8
Croatia																																		4	4	52	59	28	23
Cuba																								6												14	24	20	41
Curaçao																																					1		
Cyprus																						5	15	8	30	27	57	558	1577	2511	2327	1080	499	367	482	1085	1635	2560	3802
Czech Rep.																								15	23	17	17	14	25	45	33	54	71	59	23	124	174	290	407
Dem. Rep. of the Congo																																					2		7
Benin																								2	1	1	1	1	1	1	1	1	1	1	1	1	1		
Denmark													11	46	71	108	129	129	129	127	145	144	231	258	237	229	200	195	200	224	261	302	544	1233	1290	2018	3357	8721	13813
Dominican Rep.																																		1	1	7	3		
Ecuador																	12	13	15	15	15	15	15	15	2		1	2	1	1	12	10	11	11	11	11	15	13	17
El Salvador																																							5
Ethiopia																																						8	24
Eritrea																								0															
Estonia																									4												12	6	6
Finland																						27	27	26	32	25	34	40	39	54	51	65	83	82	161	328	429	493	1270
France																			213	192	196	192	174	148	192	207	191	205	213	216	217	233	244	280	351	640	1817	4121	7890
Djibouti																																					1		
Georgia																																				157	542	505	484
Germany																								1046	1152	15677	16448	16659	13357	7962	8410	9623	12028	13208	14868	24151	31819	70585	197186
Ghana																																				2	56	78	96
Greece												60	100				125	118						33	45	59	67	78	78	61	439	166	19	2233	10	20	1860	4095	9549
Hungary																							2	16	10	20	29	33	49	60	68	75	46	47	42	86	325	1157	19083
Iceland																								1	1	1	1	1	1	1	2	3	1	3	1	4	18	12	37
India																														6	6	1			1	11	30	45	61
Indonesia																								1	1	2	1	2	1	1	1		3		7	53	79	86	93
Iran (Islamic Rep. of)																														1			1	1					
Iraq									2000															127	112	106	649	1091	1401	1574	1566	1546	884	1222	1714	64771	213973	235421	244642
Ireland																							2	2	9	13	31	39	27	41	47	52	40	44	45	53	86	187	160
Israel																						5	4	8	3	1		1	4	4	4	3					1		
Italy				2	4	4	6	9	9	14	20	27	34	32	32	36	35	35	41	36	34	28	21	24	22	36	35	41	47	62	84	110	190	240	262	952	1118	1475	1706
Cote D'Ivoire																	3	3			3	3	3	3	3	3	3	3	3	3							14	16	28
Jamaica																																					2		
